Date,Away Team,Home Team,Away Final,Home Final,Away Record After,Home Record After,Away Rank Prior,Home Rank Prior
"Week 6, 2016",charlotte,fau,5.0,-5.0,(2-4),(1-5),Unranked,Unranked
"Week 6, 2016",georgia,south carolina,14.0,-14.0,(4-2),(2-4),Unranked,Unranked
"Week 6, 2016",cincinnati,connecticut,-11.0,11.0,(3-3),(3-3),Unranked,Unranked
"Week 6, 2016",iowa,minnesota,7.0,-7.0,(4-2),(3-2),Unranked,Unranked
"Week 6, 2016",auburn,mississippi state,24.0,-24.0,(4-2),(2-3),Unranked,Unranked
"Week 6, 2016",southern miss,utsa,-23.0,23.0,(4-2),(2-3),Unranked,Unranked
"Week 6, 2016",tcu,kansas,1.0,-1.0,(4-2),(1-4),Unranked,Unranked
"Week 6, 2016",texas,oklahoma,-5.0,5.0,(2-3),(3-2),Unranked,20
"Week 6, 2016",east carolina,south florida,-16.0,16.0,(2-4),(5-1),Unranked,Unranked
"Week 6, 2016",notre dame,nc state,-7.0,7.0,(2-4),(4-1),Unranked,Unranked
"Week 6, 2016",maryland,penn state,-24.0,24.0,(4-1),(4-2),Unranked,Unranked
"Week 6, 2016",georgia tech,pittsburgh,-3.0,3.0,(3-3),(4-2),Unranked,Unranked
"Week 6, 2016",bowling green,ohio,-6.0,6.0,(1-5),(4-2),Unranked,Unranked
"Week 6, 2016",toledo,eastern michigan,15.0,-15.0,(4-1),(4-2),Unranked,Unranked
"Week 6, 2016",miami (ohio),akron,-22.0,22.0,(0-6),(4-2),Unranked,Unranked
"Week 6, 2016",houston,navy,-6.0,6.0,(5-1),(4-1),6,Unranked
"Week 6, 2016",tennessee,texas a&m,0.0,0.0,(5-1),(6-0),9,8
"Week 6, 2016",texas state,georgia state,-20.0,20.0,(2-3),(1-4),Unranked,Unranked
"Week 6, 2016",ball state,central michigan,-3.0,3.0,(3-3),(4-2),Unranked,Unranked
"Week 6, 2016",air force,wyoming,-9.0,9.0,(4-1),(4-2),Unranked,Unranked
"Week 6, 2016",iowa state,oklahoma state,-7.0,7.0,(1-5),(4-2),Unranked,Unranked
"Week 6, 2016",kent state,buffalo,24.0,-24.0,(2-4),(1-4),Unranked,Unranked
"Week 6, 2016",army,duke,-7.0,7.0,(3-2),(3-3),Unranked,Unranked
"Week 6, 2016",purdue,illinois,3.0,-3.0,(3-2),(1-4),Unranked,Unranked
"Week 6, 2016",brigham young,michigan state,17.0,-17.0,(3-3),(2-3),Unranked,Unranked
"Week 6, 2016",virginia tech,north carolina,31.0,-31.0,(4-1),(4-2),25,17
"Week 6, 2016",indiana,ohio state,-21.0,21.0,(3-2),(5-0),Unranked,2
"Week 6, 2016",colorado,usc,-4.0,4.0,(4-2),(3-3),21,Unranked
"Week 6, 2016",vanderbilt,kentucky,-7.0,7.0,(2-4),(3-3),Unranked,Unranked
"Week 6, 2016",hawaii,san jose state,17.0,-17.0,(3-3),(1-5),Unranked,Unranked
"Week 6, 2016",niu,western michigan,-15.0,15.0,(1-5),(6-0),Unranked,Unranked
"Week 6, 2016",idaho,ul monroe,3.0,-3.0,(3-3),(1-4),Unranked,Unranked
"Week 6, 2016",marshall,north texas,-17.0,17.0,(1-4),(3-3),Unranked,Unranked
"Week 6, 2016",fresno state,nevada,-5.0,5.0,(1-5),(3-3),Unranked,Unranked
"Week 6, 2016",texas tech,kansas state,-6.0,6.0,(3-2),(3-2),Unranked,Unranked
"Week 6, 2016",alabama,arkansas,19.0,-19.0,(6-0),(4-2),1,16
"Week 6, 2016",syracuse,wake forest,-19.0,19.0,(2-4),(5-1),Unranked,Unranked
"Week 6, 2016",michigan,rutgers,78.0,-78.0,(6-0),(2-4),4,Unranked
"Week 6, 2016",washington,oregon,49.0,-49.0,(6-0),(2-4),5,Unranked
"Week 6, 2016",florida state,miami (fla.),1.0,-1.0,(4-2),(4-1),23,10
"Week 6, 2016",fiu,utep,14.0,-14.0,(2-4),(1-5),Unranked,Unranked
"Week 6, 2016",california,oregon state,-3.0,3.0,(3-3),(2-3),Unranked,Unranked
"Week 6, 2016",arizona,utah,-13.0,13.0,(2-4),(5-1),Unranked,24
"Week 6, 2016",utah state,colorado state,-7.0,7.0,(2-4),(3-3),Unranked,Unranked
"Week 6, 2016",unlv,san diego state,-19.0,19.0,(2-4),(4-1),Unranked,Unranked
"Week 6, 2016",washington state,stanford,26.0,-26.0,(3-2),(3-2),Unranked,15
"Week 6, 2016",ucla,arizona state,-3.0,3.0,(3-3),(1-4),Unranked,Unranked
"Week 6, 2016",clemson,boston college,46.0,-46.0,(6-0),(3-3),3,Unranked
"Week 6, 2016",massachusetts,old dominion,-20.0,20.0,(1-5),(4-2),Unranked,Unranked
"Week 6, 2016",smu,tulsa,-3.0,3.0,(2-4),(4-1),Unranked,Unranked
"Week 6, 2016",boise state,new mexico,28.0,-28.0,(5-0),(2-3),19,Unranked
"Week 6, 2016",western kentucky,louisiana tech,-3.0,3.0,(3-3),(3-3),Unranked,Unranked
"Week 6, 2016",temple,memphis,-7.0,7.0,(3-3),(4-1),Unranked,Unranked
"Week 6, 2016",georgia southern,arkansas state,-1.0,1.0,(3-2),(1-4),Unranked,Unranked
"Week 7, 2016",unlv,hawaii,3.0,-3.0,(3-4),(3-4),Unranked,Unranked
"Week 7, 2016",illinois,rutgers,17.0,-17.0,(2-4),(2-5),Unranked,Unranked
"Week 7, 2016",kansas state,oklahoma,-21.0,21.0,(3-3),(4-2),Unranked,19
"Week 7, 2016",west virginia,texas tech,31.0,-31.0,(5-0),(3-3),20,Unranked
"Week 7, 2016",iowa,purdue,14.0,-14.0,(5-2),(3-3),Unranked,Unranked
"Week 7, 2016",minnesota,maryland,21.0,-21.0,(4-2),(4-2),Unranked,Unranked
"Week 7, 2016",nc state,clemson,-7.0,7.0,(4-2),(7-0),Unranked,3
"Week 7, 2016",vanderbilt,georgia,1.0,-1.0,(3-4),(4-3),Unranked,Unranked
"Week 7, 2016",ul lafayette,army,-55.0,55.0,(1-6),(4-2),Unranked,Unranked
"Week 7, 2016",pittsburgh,virginia,14.0,-14.0,(5-2),(2-4),Unranked,Unranked
"Week 7, 2016",georgia southern,georgia tech,-11.0,11.0,(3-3),(4-3),Unranked,Unranked
"Week 7, 2016",eastern michigan,ohio,7.0,-7.0,(5-2),(4-3),Unranked,Unranked
"Week 7, 2016",kent state,miami (ohio),-4.0,4.0,(2-5),(1-6),Unranked,Unranked
"Week 7, 2016",western kentucky,middle tennessee state,0.0,0.0,(4-3),(4-2),Unranked,Unranked
"Week 7, 2016",ball state,buffalo,10.0,-10.0,(4-3),(1-5),Unranked,Unranked
"Week 7, 2016",western michigan,akron,41.0,-41.0,(7-0),(4-3),24,Unranked
"Week 7, 2016",new mexico,air force,5.0,-5.0,(3-3),(4-2),Unranked,Unranked
"Week 7, 2016",usc,arizona,34.0,-34.0,(4-3),(2-5),Unranked,Unranked
"Week 7, 2016",georgia state,troy,-10.0,10.0,(1-5),(5-1),Unranked,Unranked
"Week 7, 2016",central michigan,niu,0.0,0.0,(5-2),(1-6),Unranked,Unranked
"Week 7, 2016",bowling green,toledo,-7.0,7.0,(1-6),(5-1),Unranked,Unranked
"Week 7, 2016",nebraska,indiana,5.0,-5.0,(6-0),(3-3),10,Unranked
"Week 7, 2016",wake forest,florida state,-11.0,11.0,(5-2),(5-2),Unranked,14
"Week 7, 2016",louisiana tech,massachusetts,28.0,-28.0,(4-3),(1-6),Unranked,Unranked
"Week 7, 2016",north carolina,miami (fla.),7.0,-7.0,(5-2),(4-2),Unranked,16
"Week 7, 2016",alabama,tennessee,39.0,-39.0,(7-0),(5-2),1,9
"Week 7, 2016",northwestern,michigan state,14.0,-14.0,(3-3),(2-4),Unranked,Unranked
"Week 7, 2016",kansas,baylor,-42.0,42.0,(1-5),(6-0),Unranked,11
"Week 7, 2016",virginia tech,syracuse,-14.0,14.0,(4-2),(3-4),17,Unranked
"Week 7, 2016",missouri,florida,-26.0,26.0,(2-4),(5-1),Unranked,18
"Week 7, 2016",utah,oregon state,5.0,-5.0,(6-1),(2-4),21,Unranked
"Week 7, 2016",new mexico state,idaho,-32.0,32.0,(2-4),(4-3),Unranked,Unranked
"Week 7, 2016",fiu,charlotte,1.0,-1.0,(3-4),(2-5),Unranked,Unranked
"Week 7, 2016",iowa state,texas,-21.0,21.0,(1-6),(3-3),Unranked,Unranked
"Week 7, 2016",south alabama,arkansas state,-10.0,10.0,(3-3),(2-4),Unranked,Unranked
"Week 7, 2016",utsa,rice,1.0,-1.0,(3-3),(0-6),Unranked,Unranked
"Week 7, 2016",texas state,ul monroe,-6.0,6.0,(2-4),(2-4),Unranked,Unranked
"Week 7, 2016",connecticut,south florida,-15.0,15.0,(3-4),(6-1),Unranked,Unranked
"Week 7, 2016",tulsa,houston,-7.0,7.0,(4-2),(6-1),Unranked,13
"Week 7, 2016",fau,marshall,-6.0,6.0,(1-6),(2-4),Unranked,Unranked
"Week 7, 2016",ole miss,arkansas,-4.0,4.0,(3-3),(5-2),12,22
"Week 7, 2016",temple,ucf,1.0,-1.0,(4-3),(3-3),Unranked,Unranked
"Week 7, 2016",southern miss,lsu,-35.0,35.0,(4-3),(4-2),Unranked,Unranked
"Week 7, 2016",stanford,notre dame,7.0,-7.0,(4-2),(2-5),Unranked,Unranked
"Week 7, 2016",arizona state,colorado,-24.0,24.0,(5-2),(5-2),Unranked,Unranked
"Week 7, 2016",ohio state,wisconsin,7.0,-7.0,(6-0),(4-2),2,8
"Week 7, 2016",colorado state,boise state,-5.0,5.0,(3-4),(6-0),Unranked,15
"Week 7, 2016",nevada,san jose state,-4.0,4.0,(3-4),(2-5),Unranked,Unranked
"Week 7, 2016",ucla,washington state,-6.0,6.0,(3-4),(4-2),Unranked,Unranked
"Week 7, 2016",duke,louisville,-10.0,10.0,(3-4),(5-1),Unranked,7
"Week 7, 2016",memphis,tulane,10.0,-10.0,(5-1),(3-3),Unranked,Unranked
"Week 7, 2016",san diego state,fresno state,14.0,-14.0,(5-1),(1-6),Unranked,Unranked
"Week 7, 2016",mississippi state,brigham young,0.0,0.0,(2-4),(4-3),Unranked,Unranked
"Week 7, 2016",app,ul lafayette,24.0,-24.0,(4-2),(2-4),Unranked,Unranked
"Week 8, 2016",rutgers,minnesota,-2.0,2.0,(2-6),(5-2),Unranked,Unranked
"Week 8, 2016",indiana,northwestern,-10.0,10.0,(3-4),(4-3),Unranked,Unranked
"Week 8, 2016",miami (ohio),bowling green,14.0,-14.0,(2-6),(1-7),Unranked,Unranked
"Week 8, 2016",north texas,army,17.0,-17.0,(4-3),(4-3),Unranked,Unranked
"Week 8, 2016",texas,kansas state,-3.0,3.0,(3-4),(4-3),Unranked,Unranked
"Week 8, 2016",central michigan,toledo,-14.0,14.0,(5-3),(6-1),Unranked,Unranked
"Week 8, 2016",ucf,connecticut,8.0,-8.0,(4-3),(3-5),Unranked,Unranked
"Week 8, 2016",oklahoma state,kansas,24.0,-24.0,(5-2),(0-6),Unranked,Unranked
"Week 8, 2016",nc state,louisville,-41.0,41.0,(4-3),(6-1),Unranked,5
"Week 8, 2016",massachusetts,south carolina,-6.0,6.0,(1-7),(3-4),Unranked,Unranked
"Week 8, 2016",wisconsin,iowa,8.0,-8.0,(5-2),(5-3),11,Unranked
"Week 8, 2016",syracuse,boston college,8.0,-8.0,(4-4),(3-4),Unranked,Unranked
"Week 8, 2016",ohio,kent state,4.0,-4.0,(5-3),(2-6),Unranked,Unranked
"Week 8, 2016",hawaii,air force,0.0,0.0,(4-4),(4-3),Unranked,Unranked
"Week 8, 2016",north carolina,virginia,21.0,-21.0,(6-2),(2-5),21,Unranked
"Week 8, 2016",akron,ball state,10.0,-10.0,(5-3),(4-4),Unranked,Unranked
"Week 8, 2016",colorado,stanford,5.0,-5.0,(6-2),(4-3),23,Unranked
"Week 8, 2016",fcs_team,rice,-21.0,21.0,(4-3),(1-6),Unranked,Unranked
"Week 8, 2016",eastern michigan,western michigan,-14.0,14.0,(5-3),(8-0),Unranked,20
"Week 8, 2016",idaho,app,-18.0,18.0,(4-4),(5-2),Unranked,Unranked
"Week 8, 2016",purdue,nebraska,-13.0,13.0,(3-4),(1-0),Unranked,7
"Week 8, 2016",buffalo,niu,-37.0,37.0,(1-6),(2-6),Unranked,Unranked
"Week 8, 2016",fcs_team,georgia state,-25.0,25.0,(4-4),(2-5),Unranked,Unranked
"Week 8, 2016",illinois,michigan,-33.0,33.0,(2-5),(7-0),Unranked,2
"Week 8, 2016",memphis,navy,-14.0,14.0,(5-2),(5-1),Unranked,22
"Week 8, 2016",texas a&m,alabama,-19.0,19.0,(6-1),(8-0),9,1
"Week 8, 2016",tcu,west virginia,-24.0,24.0,(4-3),(6-0),Unranked,10
"Week 8, 2016",tulane,tulsa,-23.0,23.0,(3-4),(5-2),Unranked,Unranked
"Week 8, 2016",utah,ucla,7.0,-7.0,(7-1),(3-5),17,Unranked
"Week 8, 2016",middle tennessee state,missouri,6.0,-6.0,(5-2),(2-5),Unranked,Unranked
"Week 8, 2016",colorado state,unlv,19.0,-19.0,(4-4),(3-5),Unranked,Unranked
"Week 8, 2016",charlotte,marshall,3.0,-3.0,(3-5),(2-5),Unranked,Unranked
"Week 8, 2016",arkansas,auburn,-53.0,53.0,(5-3),(5-2),Unranked,15
"Week 8, 2016",oregon state,washington,-24.0,24.0,(2-5),(7-0),Unranked,4
"Week 8, 2016",utep,utsa,0.0,0.0,(2-5),(3-4),Unranked,Unranked
"Week 8, 2016",ul lafayette,texas state,24.0,-24.0,(3-4),(2-5),Unranked,Unranked
"Week 8, 2016",old dominion,western kentucky,-35.0,35.0,(4-3),(5-3),Unranked,Unranked
"Week 8, 2016",houston,smu,-22.0,22.0,(6-2),(3-4),Unranked,Unranked
"Week 8, 2016",louisiana tech,fiu,20.0,-20.0,(5-3),(3-5),Unranked,Unranked
"Week 8, 2016",east carolina,cincinnati,-12.0,12.0,(2-5),(4-3),Unranked,Unranked
"Week 8, 2016",fcs_team,vanderbilt,-18.0,18.0,(5-2),(4-4),Unranked,Unranked
"Week 8, 2016",mississippi state,kentucky,-2.0,2.0,(2-5),(4-3),Unranked,Unranked
"Week 8, 2016",michigan state,maryland,-11.0,11.0,(2-5),(5-2),Unranked,Unranked
"Week 8, 2016",georgia southern,new mexico state,3.0,-3.0,(4-3),(2-5),Unranked,Unranked
"Week 8, 2016",oklahoma,texas tech,7.0,-7.0,(5-2),(3-4),16,Unranked
"Week 8, 2016",ohio state,penn state,-3.0,3.0,(6-1),(5-2),6,24
"Week 8, 2016",ul monroe,new mexico,-42.0,42.0,(2-5),(4-3),Unranked,Unranked
"Week 8, 2016",ole miss,lsu,-17.0,17.0,(3-4),(5-2),Unranked,19
"Week 8, 2016",washington state,arizona state,5.0,-5.0,(5-2),(0-6),Unranked,Unranked
"Week 8, 2016",wyoming,nevada,8.0,-8.0,(5-2),(3-5),Unranked,Unranked
"Week 8, 2016",fresno state,utah state,-18.0,18.0,(1-7),(3-4),Unranked,Unranked
"Week 8, 2016",south florida,temple,-16.0,16.0,(6-2),(5-3),Unranked,Unranked
"Week 8, 2016",san jose state,san diego state,-39.0,39.0,(2-6),(6-1),Unranked,Unranked
"Week 8, 2016",oregon,california,0.0,0.0,(2-5),(4-3),Unranked,Unranked
"Week 8, 2016",miami (fla.),virginia tech,-21.0,21.0,(4-3),(5-2),Unranked,25
"Week 8, 2016",troy,south alabama,7.0,-7.0,(6-1),(3-4),Unranked,Unranked
"Week 8, 2016",brigham young,boise state,-1.0,1.0,(4-4),(7-0),Unranked,13
"Week 9, 2016",new mexico,hawaii,7.0,-7.0,(5-3),(4-5),Unranked,Unranked
"Week 9, 2016",kentucky,missouri,14.0,-14.0,(5-3),(2-6),Unranked,Unranked
"Week 9, 2016",minnesota,illinois,23.0,-23.0,(6-2),(2-6),Unranked,Unranked
"Week 9, 2016",west virginia,oklahoma state,-17.0,17.0,(6-1),(6-2),14,22
"Week 9, 2016",fcs_team,central michigan,3.0,-3.0,(3-6),(5-4),Unranked,Unranked
"Week 9, 2016",connecticut,east carolina,-38.0,38.0,(3-6),(3-5),Unranked,Unranked
"Week 9, 2016",ucf,houston,-7.0,7.0,(4-4),(7-2),Unranked,Unranked
"Week 9, 2016",kansas state,iowa state,5.0,-5.0,(5-3),(1-7),Unranked,Unranked
"Week 9, 2016",fcs_team,massachusetts,-24.0,24.0,(4-4),(2-7),Unranked,Unranked
"Week 9, 2016",michigan,michigan state,9.0,-9.0,(8-0),(2-6),2,Unranked
"Week 9, 2016",penn state,purdue,38.0,-38.0,(6-2),(3-5),20,Unranked
"Week 9, 2016",duke,georgia tech,-3.0,3.0,(3-5),(5-3),Unranked,Unranked
"Week 9, 2016",louisville,virginia,7.0,-7.0,(7-1),(2-6),5,Unranked
"Week 9, 2016",boston college,nc state,7.0,-7.0,(4-4),(4-4),Unranked,Unranked
"Week 9, 2016",texas tech,tcu,0.0,0.0,(4-4),(4-4),Unranked,Unranked
"Week 9, 2016",baylor,texas,-1.0,1.0,(6-1),(4-4),13,Unranked
"Week 9, 2016",fcs_team,fcs_team,-15.0,15.0,(6-2),(3-5),Unranked,Unranked
"Week 9, 2016",miami (ohio),eastern michigan,13.0,-13.0,(3-6),(5-4),Unranked,Unranked
"Week 9, 2016",florida,georgia,14.0,-14.0,(6-1),(4-4),10,Unranked
"Week 9, 2016",washington,utah,7.0,-7.0,(8-0),(7-2),4,16
"Week 9, 2016",maryland,indiana,-6.0,6.0,(5-3),(4-4),Unranked,Unranked
"Week 9, 2016",western kentucky,fau,49.0,-49.0,(6-3),(1-7),Unranked,Unranked
"Week 9, 2016",miami (fla.),notre dame,-3.0,3.0,(4-4),(3-5),Unranked,Unranked
"Week 9, 2016",northwestern,ohio state,-4.0,4.0,(4-4),(7-1),Unranked,6
"Week 9, 2016",cincinnati,temple,-21.0,21.0,(4-4),(6-3),Unranked,Unranked
"Week 9, 2016",army,wake forest,8.0,-8.0,(5-3),(5-3),Unranked,Unranked
"Week 9, 2016",smu,tulane,4.0,-4.0,(4-4),(3-5),Unranked,Unranked
"Week 9, 2016",arizona state,oregon,-19.0,19.0,(5-4),(3-5),Unranked,Unranked
"Week 9, 2016",georgia state,south alabama,-3.0,3.0,(2-6),(4-4),Unranked,Unranked
"Week 9, 2016",north texas,utsa,-14.0,14.0,(4-4),(4-4),Unranked,Unranked
"Week 9, 2016",nebraska,wisconsin,-6.0,6.0,(7-1),(6-2),9,8
"Week 9, 2016",ul monroe,arkansas state,-41.0,41.0,(2-6),(3-4),Unranked,Unranked
"Week 9, 2016",boise state,wyoming,-2.0,2.0,(7-1),(6-2),24,Unranked
"Week 9, 2016",marshall,southern miss,-10.0,10.0,(2-6),(5-3),Unranked,Unranked
"Week 9, 2016",kansas,oklahoma,-53.0,53.0,(1-7),(6-2),Unranked,12
"Week 9, 2016",middle tennessee state,fiu,7.0,-7.0,(6-2),(3-6),Unranked,Unranked
"Week 9, 2016",rice,louisiana tech,-45.0,45.0,(1-7),(6-3),Unranked,Unranked
"Week 9, 2016",auburn,ole miss,11.0,-11.0,(6-2),(3-5),11,Unranked
"Week 9, 2016",tennessee,south carolina,-3.0,3.0,(5-3),(4-4),Unranked,Unranked
"Week 9, 2016",new mexico state,texas a&m,-42.0,42.0,(2-6),(7-1),Unranked,7
"Week 9, 2016",clemson,florida state,3.0,-3.0,(8-0),(5-3),3,19
"Week 9, 2016",old dominion,utep,10.0,-10.0,(5-3),(2-6),Unranked,Unranked
"Week 9, 2016",tulsa,memphis,29.0,-29.0,(6-2),(5-3),Unranked,Unranked
"Week 9, 2016",unlv,san jose state,-6.0,6.0,(3-6),(3-6),Unranked,Unranked
"Week 9, 2016",washington state,fcs_team,4.0,-4.0,(6-2),(2-6),25,Unranked
"Week 9, 2016",stanford,arizona,24.0,-24.0,(5-3),(2-6),Unranked,Unranked
"Week 9, 2016",navy,south florida,-7.0,7.0,(5-2),(7-2),Unranked,Unranked
"Week 9, 2016",san diego state,fcs_team,27.0,-27.0,(7-1),(3-5),Unranked,Unranked
"Week 9, 2016",air force,fresno state,10.0,-10.0,(5-3),(1-8),Unranked,Unranked
"Week 9, 2016",virginia tech,pittsburgh,3.0,-3.0,(6-2),(5-3),23,Unranked
"Week 9, 2016",fcs_team,georgia southern,24.0,-24.0,(6-2),(4-4),Unranked,Unranked
"Week 9, 2016",ohio,toledo,5.0,-5.0,(6-3),(6-2),Unranked,Unranked
"Week 9, 2016",akron,buffalo,-21.0,21.0,(5-4),(2-6),Unranked,Unranked
"Week 9, 2016",california,usc,-21.0,21.0,(4-4),(5-3),Unranked,Unranked
"Week 10, 2016",notre dame,navy,-1.0,1.0,(3-5),(5-2),Unranked,Unranked
"Week 10, 2016",texas a&m,fcs_team,-7.0,7.0,(7-1),(3-5),4,Unranked
"Week 10, 2016",wisconsin,northwestern,14.0,-14.0,(6-2),(4-4),8,Unranked
"Week 10, 2016",georgia southern,ole miss,-10.0,10.0,(4-4),(3-5),Unranked,Unranked
"Week 10, 2016",michigan state,illinois,-4.0,4.0,(2-6),(2-6),Unranked,Unranked
"Week 10, 2016",texas,texas tech,8.0,-8.0,(4-4),(4-4),Unranked,Unranked
"Week 10, 2016",air force,army,19.0,-19.0,(5-3),(5-3),Unranked,Unranked
"Week 10, 2016",vanderbilt,auburn,-7.0,7.0,(4-4),(6-2),Unranked,9
"Week 10, 2016",louisville,boston college,45.0,-45.0,(7-1),(4-4),7,Unranked
"Week 10, 2016",indiana,rutgers,6.0,-6.0,(4-4),(2-6),Unranked,Unranked
"Week 10, 2016",georgia tech,north carolina,-28.0,28.0,(5-3),(6-2),Unranked,21
"Week 10, 2016",pittsburgh,miami (fla.),-23.0,23.0,(5-3),(4-4),Unranked,Unranked
"Week 10, 2016",utsa,middle tennessee state,20.0,-20.0,(4-4),(6-2),Unranked,Unranked
"Week 10, 2016",virginia,wake forest,-7.0,7.0,(2-6),(5-3),Unranked,Unranked
"Week 10, 2016",charlotte,southern miss,11.0,-11.0,(3-5),(5-3),Unranked,Unranked
"Week 10, 2016",fau,rice,17.0,-17.0,(1-7),(1-7),Unranked,Unranked
"Week 10, 2016",massachusetts,troy,-21.0,21.0,(2-7),(6-1),Unranked,Unranked
"Week 10, 2016",purdue,minnesota,-13.0,13.0,(3-5),(6-2),Unranked,Unranked
"Week 10, 2016",texas state,fcs_team,-25.0,25.0,(2-5),(6-2),Unranked,Unranked
"Week 10, 2016",fresno state,colorado state,-37.0,37.0,(1-8),(4-4),Unranked,Unranked
"Week 10, 2016",oregon state,stanford,-11.0,11.0,(2-6),(5-3),Unranked,Unranked
"Week 10, 2016",brigham young,cincinnati,17.0,-17.0,(4-4),(4-4),Unranked,Unranked
"Week 10, 2016",oklahoma state,kansas state,6.0,-6.0,(6-2),(5-3),18,Unranked
"Week 10, 2016",syracuse,clemson,-54.0,54.0,(4-4),(8-0),Unranked,2
"Week 10, 2016",virginia tech,duke,3.0,-3.0,(6-2),(3-5),19,Unranked
"Week 10, 2016",tcu,baylor,40.0,-40.0,(4-4),(6-1),Unranked,17
"Week 10, 2016",florida,arkansas,-21.0,21.0,(6-1),(5-3),11,Unranked
"Week 10, 2016",maryland,michigan,-56.0,56.0,(5-3),(8-0),Unranked,3
"Week 10, 2016",arizona,washington state,-62.0,62.0,(2-6),(6-2),Unranked,25
"Week 10, 2016",memphis,smu,44.0,-44.0,(5-3),(4-4),Unranked,Unranked
"Week 10, 2016",missouri,south carolina,-10.0,10.0,(2-6),(4-4),Unranked,Unranked
"Week 10, 2016",fcs_team,tennessee,-55.0,55.0,(3-5),(5-3),Unranked,Unranked
"Week 10, 2016",tulane,ucf,-31.0,31.0,(3-5),(4-4),Unranked,Unranked
"Week 10, 2016",south alabama,ul monroe,-7.0,7.0,(4-4),(2-6),Unranked,Unranked
"Week 10, 2016",idaho,ul lafayette,10.0,-10.0,(4-4),(3-4),Unranked,Unranked
"Week 10, 2016",fiu,western kentucky,-28.0,28.0,(3-6),(6-3),Unranked,Unranked
"Week 10, 2016",louisiana tech,north texas,21.0,-21.0,(6-3),(4-4),Unranked,Unranked
"Week 10, 2016",hawaii,san diego state,-55.0,55.0,(4-6),(8-1),Unranked,Unranked
"Week 10, 2016",oregon,usc,-25.0,25.0,(3-6),(6-3),Unranked,Unranked
"Week 10, 2016",kansas,west virginia,-27.0,27.0,(1-8),(7-1),Unranked,20
"Week 10, 2016",marshall,old dominion,-24.0,24.0,(2-6),(5-3),Unranked,Unranked
"Week 10, 2016",florida state,nc state,4.0,-4.0,(6-3),(4-5),22,Unranked
"Week 10, 2016",iowa,penn state,-27.0,27.0,(5-4),(7-2),Unranked,12
"Week 10, 2016",georgia,kentucky,3.0,-3.0,(5-4),(5-4),Unranked,Unranked
"Week 10, 2016",fcs_team,utep,-32.0,32.0,(3-6),(3-6),Unranked,Unranked
"Week 10, 2016",east carolina,tulsa,-21.0,21.0,(3-6),(7-2),Unranked,Unranked
"Week 10, 2016",alabama,lsu,10.0,-10.0,(9-0),(5-3),1,13
"Week 10, 2016",nebraska,ohio state,-59.0,59.0,(7-2),(8-1),10,6
"Week 10, 2016",utah state,wyoming,-24.0,24.0,(3-6),(7-2),Unranked,Unranked
"Week 10, 2016",nevada,new mexico,-9.0,9.0,(3-6),(6-3),Unranked,Unranked
"Week 10, 2016",washington,california,39.0,-39.0,(9-0),(4-5),5,Unranked
"Week 10, 2016",central michigan,miami (ohio),-20.0,20.0,(5-4),(3-6),Unranked,Unranked
"Week 10, 2016",temple,connecticut,21.0,-21.0,(6-3),(3-6),Unranked,Unranked
"Week 10, 2016",san jose state,boise state,-14.0,14.0,(3-6),(7-0),Unranked,24
"Week 10, 2016",buffalo,ohio,-24.0,24.0,(2-6),(6-3),Unranked,Unranked
"Week 10, 2016",arkansas state,georgia state,15.0,-15.0,(3-4),(2-6),Unranked,Unranked
"Week 10, 2016",oklahoma,iowa state,10.0,-10.0,(6-2),(1-7),14,Unranked
"Week 10, 2016",ucla,colorado,-10.0,10.0,(3-5),(6-2),Unranked,15
"Week 10, 2016",toledo,akron,31.0,-31.0,(6-2),(5-4),Unranked,Unranked
"Week 10, 2016",bowling green,fcs_team,-25.0,25.0,(1-7),(2-6),Unranked,Unranked
"Week 10, 2016",western michigan,ball state,32.0,-32.0,(8-0),(4-4),23,Unranked
"Week 11, 2016",fcs_team,alabama,-48.0,48.0,(4-6),(10-0),Unranked,1
"Week 11, 2016",cincinnati,ucf,-21.0,21.0,(4-6),(6-4),Unranked,Unranked
"Week 11, 2016",iowa state,kansas,7.0,-7.0,(2-8),(0-9),Unranked,Unranked
"Week 11, 2016",baylor,oklahoma,-21.0,21.0,(6-3),(8-2),Unranked,11
"Week 11, 2016",west virginia,texas,4.0,-4.0,(8-1),(5-5),16,Unranked
"Week 11, 2016",kentucky,tennessee,-13.0,13.0,(5-5),(7-3),Unranked,Unranked
"Week 11, 2016",northwestern,purdue,28.0,-28.0,(5-5),(3-7),Unranked,Unranked
"Week 11, 2016",south carolina,florida,-13.0,13.0,(5-5),(7-2),Unranked,Unranked
"Week 11, 2016",penn state,indiana,14.0,-14.0,(8-2),(0-5),10,Unranked
"Week 11, 2016",rutgers,michigan state,-49.0,49.0,(2-8),(3-7),Unranked,Unranked
"Week 11, 2016",tulsa,navy,-2.0,2.0,(7-3),(7-2),Unranked,Unranked
"Week 11, 2016",smu,east carolina,24.0,-24.0,(5-5),(3-7),Unranked,Unranked
"Week 11, 2016",nc state,syracuse,15.0,-15.0,(5-5),(4-6),Unranked,Unranked
"Week 11, 2016",miami (ohio),buffalo,11.0,-11.0,(5-6),(2-8),Unranked,Unranked
"Week 11, 2016",ul monroe,georgia state,14.0,-14.0,(4-6),(2-8),Unranked,Unranked
